pre_tax_amount,tax,post_tax_amount,amount_tendered
17.72,0,17.72,20
1.59,0.05,1.64,2
1.19,0.06,1.25,5
38.39,0.17,38.56,100
2.88,0.2,3.08,3.08
1.98,0.12,2.1,2.1
1.59,0.11,1.7,20
1,0,1,1
5.02,0,5.02,5.02
38.97,1.38,40.35,41
5,0,5,5
0.79,0.02,0.81,0.81
22,0,22,22
4.51,0,4.51,4.51
2.5,0,2.5,10
20.52,1.44,5,5
1.19,0.03,1.22,2
2.19,0.05,2.24,3
1.15,0.06,1.21,20.01
24.05,0,24.05,24.05
0.69,0.02,0.71,1.01
20.01,0,20.01,20.01
1.19,0.06,1.25,1.25
24.01,0,24.01,24.01
22.38,0,22.38,40
43,0,43,43
20,0,20,20
38,0,38,40
1.49,0.03,1.52,2
24.38,0.31,24.69,25
0.99,0.07,1.06,1.26
46.66,1.58,1.5,1.5
4.58,0.23,4.81,4.81
4.27,0.11,4.38,5
2.89,0.11,3,3
20.37,0,20.37,20.37
35.67,0,35.67,35.67
3.68,0.26,3.94,5
38.59,0,38.59,40
1.59,0.05,1.64,2
5.17,0.26,5.43,6
7.5,0.05,7.55,8
1.99,0.14,2.13,3
1.59,0.05,1.64,5
9.29,0.09,9.38,20
2,0,2,20
1.29,0.09,1.38,1.38
7,0,7,20
10.81,0.59,11.4,20
7.49,0.52,8.01,20.01
24.29,0,24.29,24.29
13,0,13,13
13.42,0,13.42,13.42
1.99,0.14,2.13,3
20,0,20,20
7.14,0,7.14,7.14
5.96,0.18,6.14,7
23.79,0,23.79,23.79
2.49,0.12,2.61,3
28.38,0.25,28.63,50
22.26,0.22,22.48,22.48
8,0,8,8
3.18,0.06,3.24,4
14.96,0.75,15.71,20
1.38,0.1,1.48,1.52
8.98,0.45,9.43,9.43
1.59,0.11,1.7,2
7.9,0.4,8.3,10.3
2.58,0.15,2.73,5
3.96,0.15,4.11,5
35,0,35,35
32.98,0,32.98,32.98
3.98,0.2,4.18,5
17.6,0,17.6,17.6
15,0,15,50
4.77,0.24,5.01,5.01
5,0,5,5
1.88,0.08,1.96,2
1.29,0.09,1.38,1.38
31.8,2.62,20,20
3.37,0,3.37,5
12.94,0.2,13.14,20.25
6,0,6,6
8,0,8,20
2.37,0,2.37,2.37
5.56,0.17,5.73,10
19.5,0,19.5,20
2,0,2,35
7,0,7,7
35.19,0,35.19,35.19
1.19,0.11,1.3,1.3
3,0,3,20
7.6,0.26,7.86,8
26.64,0,26.64,26.64
1.48,0.03,1.51,2
5.98,0.42,6.4,20.45
3.29,0.13,3.42,3.42
20,0,20,20
2,0,2,2
2.89,0.2,3.09,4
3.57,0.15,3.72,4
41,0,41,41
10.49,0.73,11.22,12
1.88,0.09,1.97,5
1.98,0.14,2.12,3
0.39,0.03,0.42,0.42
5,0,5,10
3.04,0.15,3.19,3.25
1.49,0.03,1.52,2
0.79,0.04,0.83,0.83
7.94,0.45,8.39,20.5
23.08,0,23.08,23.08
2.99,0.18,3.17,4
20,0,20,20
33.88,0,33.88,33.88
10.33,0.72,11.05,20
17.48,0.28,17.76,20
1.19,0.11,1.3,5
47,0,47,47
10,0,10,10
5,0,5,5
10,0,10,10
13.2,0,13.2,13.2
30,0,30,30
2.18,0.2,2.38,5
12.35,1.08,13.43,14
2,0,2,2
2.09,0.15,2.24,3
4.17,0.35,4.52,10
0.79,0.02,0.81,1
10,0,10,10
15,0,15,15
53.01,0,53.01,53.01
4.99,0.25,5.24,5.24
10,0,10,20
8,0,8,50
3.84,0.09,3.93,5
35,0,35,35
33.84,0,33.84,33.84
27.75,0,27.75,27.75
10,0,10,10
8.01,0,8.01,8.01
0.99,0.03,1.02,2
42.01,0,42.01,42.01
5,0,5,5
95,0,95,100
26.67,1.87,28.54,30
20,0,20,20
1.29,0.09,1.38,5
3.19,0.06,3.25,15
1.49,0.09,1.58,5
3.03,0.17,3.2,5
15,0,15,15
1.19,0.07,1.26,2
20,0,20,20
6.17,0,6.17,7
19.34,0,19.34,19.34
8.01,0,8.01,10.01
49.79,0,49.79,49.79
2,0,2,2
1.98,0.14,2.12,2.12
19.99,1.2,21.19,100
1.19,0.08,1.27,5
6.1,0,6.1,10.1
47.55,0,47.55,47.55
46,0,46,60
