cat_name,desc,price
General Merchandise,SUN SUNGLASS PAGE          #98083,6.99
General Merchandise,SUN SUNGLASS FUTURE        #98084,6.99
General Merchandise,SUN SUNGLASS NOVA          #98085,6.99
General Merchandise,SUN SUNGLASS WOODSMAN      #98086,6.99
General Merchandise,SUN SUNGLASS CLASSIC ROUND #99091,6.99
General Merchandise,SUN SUNGLASS NATIVE LYNX,6.99
General Merchandise,SUN SUNGLASS EXOSPHERE,6.99
Health & Beauty Care,MOUTH ORA GEL EXTRA STRENGTH,6.99
Health & Beauty Care,CHILD TYLENOL COLD CHILD LIQUID,6.99
Health & Beauty Care,LAX IMODIUM ANTIDIARRHEAL 2OZ,6.99
Health & Beauty Care,COLD ADVIL COLD/SINUS CAPLET 20 CT,6.99
Health & Beauty Care,COLD ALKA SELTZER COLD TABLETS 20 CT,6.99
Health & Beauty Care,COLD CONTAC 12 HR CAPLETS 10 CT,6.99
Health & Beauty Care,COLD CONTAC SEVERE COLD CAPLETS 16 CT,6.99
Health & Beauty Care,COLD DIMETAPP 12 HR TABLETS 12 CT,6.99
Health & Beauty Care,COLD DRISTAN TABLETS 20 CT,6.99
Health & Beauty Care,SINUS AFRIN NASAL SPRAY,6.99
Health & Beauty Care,SHAVE GILLETE SENSOR RAZOR,6.99
Health & Beauty Care,SUN HT DARK TANNING LOTION,6.99
Health & Beauty Care,SUN HT DARK TANNING OIL,6.99
Health & Beauty Care,SUN HT SUNBLOCK 15 PLUS,6.99
Health & Beauty Care,SUN HT SUNBLOCK SPORT 15,6.99
Packaged Beverages,PLU PEPSI 24PK,6.98
Packaged Beverages,PLU SODA OTHER 24PK,6.98
Health & Beauty Care,ACID KAOPECTATE 8 OZ,6.79
Cigarettes,PROMO B PM  MARLBORO MEN B2/G OPENER,6.78
Cigarettes,PROMO B RJR WINSTON B2/G2 FREE,6.78
Cigarettes,PROMO B PM MARLBORO MEN KG B2/G1,6.78
Cigarettes,PROMO B PM MARLBORO MEN KG BX B2/G1,6.78
Cigarettes,PROMO B PM MARLBORO MEN LT K BX B2/G1,6.78
Cigarettes,PROMO B PM MARLBORO MEN LT 100 B2/G1,6.78
Cigarettes,PROMO B PM MERIT B2/GINCENTIVE,6.78
Cigarettes,PROMO B PM MERIT KING B2/G1,6.78
Cigarettes,PROMO B RJR CAMEL B2/G1 FREE,6.78
Cigarettes,PROMO B PM  PARLIAMENT B2/G1,6.78
Cigarettes,PROMO B PM  PARLIAMENT B2/G1,6.78
Cigarettes,PROMO B PM  VA SLIM B2/G1,6.78
Health & Beauty Care,COLD CO-TYLENOL COLD TABLETS 24CT,6.69
Health & Beauty Care,MOUTH CHLORASEPTIC M/W CHERRY,6.59
Health & Beauty Care,MOUTH CHLORASEPTIC M/W MENTHOL,6.59
Health & Beauty Care,CHILD VICKS NYQUIL CHILD,6.59
Health & Beauty Care,COLD DRIXORAL COLD TABLETS 10CT,6.59
Health & Beauty Care,SINUS BENADRYL REGULAR CAPSUL 24 CT,6.59
Health & Beauty Care,SINUS BENADRYL ALLERGY TABLETS 24 CT,6.59
Health & Beauty Care,SINUS SUDAFED TABLETS 30MG 24CT,6.49
Health & Beauty Care,SINUS SUDAFED TABLETS 24CT,6.49
Health & Beauty Care,CHILD TYLENOL INFANT DROPS 1/2 OZ,6.39
Health & Beauty Care,COLD ROBITUSSIN DM 4 OZ,6.39
Cigarettes,PROMO B PM MERIT 100 B2/G1,6.38
Health & Beauty Care,SINUS SINE AID MAX STR TABLETS 24 CT,6.29
Cigarettes,PROMO G PM  BASIC MEN B2/G1 FREE,6.18
Packaged Ice Cream/Novelties,HGAL EDY'S IC VANILLA BEAN,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC CHOCOLATE FUDGE SUNDAE,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC MINT CHOCOLATE CHIP,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC BUTTER PECAN,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC ROCKY ROAD,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC COOKIES N CREAM,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC VAN/CHOC/STRAW,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC CHOC CHIP COOKIE DOUGH,5.99
Packaged Ice Cream/Novelties,HGAL EDY'S IC DOUBLE FUDGE BROWNIE,5.99
Automotive Products,AUTO TURTLE LIQUID WAX 16 OZ,5.99
Automotive Products,AUTO TURTLE PASTE WAX 10 OZ,5.99
General Merchandise,FILM KODAK FILM 35MM ASA 200,5.99
General Merchandise,SUN SUNGLASS ROGUE         #96062,5.99
General Merchandise,SUN SUNGLASS MANHATTAN     #96068,5.99
General Merchandise,SUN SUNGLASS WILD LYNX     #97075,5.99
General Merchandise,SUN SUNGLASS LYNX EDGE     #99095,5.99
Health & Beauty Care,BABY HUGGIES STEP 1 SMALL 18CT,5.99
Health & Beauty Care,BABY HUGGIES STEP 3 MEDIUM 14CT,5.99
Health & Beauty Care,BABY HUGGIES STEP 4 LARGE 10CT,5.99
Health & Beauty Care,LAX CORRECTOL TABLETS 30CT,5.99
Health & Beauty Care,COLD THERA FLU COUGH GOLD MED 6 CT,5.99
Non-edible Grocery,SOAP TIDE LIQUID SCENTED 50OZ,5.99
Non-edible Grocery,BABY SIMILAC RTU PLAIN,5.99
Non-edible Grocery,BABY SIMILAC RTU IRON,5.99
Non-edible Grocery,DOG DADS ECONOMETS,5.99
Non-edible Grocery,DOG PURINA MAINSTAY PP,5.99
Frozen Foods,FROZEN SWANSON FRIED CHICKEN SP,5.89
Non-edible Grocery,BABY ENFAMIL RTU PLAIN,5.89
Non-edible Grocery,BABY ENFAMIL RTU IRON,5.89
General Merchandise,BUG OFF AEROSOL 6 OZ,5.69
Non-edible Grocery,COFFEE MAX HOUSE REG FILTER PAK,5.69
